aX,aY,aZ,gX,gY,gZ
-0.702,-0.767,-1.940,-395.569,136.719,152.954
-0.786,-0.752,-2.049,-404.846,137.695,163.025

-0.910,-0.462,-2.779,-425.781,119.629,176.697
-0.901,-0.203,-3.234,-406.555,76.965,174.622
-0.834,0.029,-3.441,-342.041,23.437,153.687
-0.792,0.195,-3.363,-251.099,-20.203,111.206
-0.746,0.186,-3.013,-168.640,-48.157,60.791
-0.613,0.136,-2.629,-106.445,-57.251,26.062
-0.485,0.115,-2.229,-69.641,-52.734,11.536
-0.393,0.146,-1.957,-59.814,-45.166,12.573
-0.394,0.239,-1.818,-65.002,-43.396,29.114
-0.467,0.343,-1.784,-74.463,-41.199,48.279
-0.500,0.447,-1.819,-77.271,-30.884,56.213
-0.458,0.522,-1.850,-67.993,-14.099,46.570
-0.338,0.534,-1.888,-51.575,3.967,24.231
-0.211,0.492,-1.885,-31.250,15.564,1.038
-0.094,0.427,-1.811,-5.737,17.212,-15.137
0.046,0.326,-1.658,20.386,12.573,-24.048
0.177,0.236,-1.462,36.072,5.859,-27.100
0.238,0.185,-1.274,38.879,-2.380,-21.729
0.248,0.159,-1.115,32.776,-13.977,-8.606
0.182,0.170,-0.999,22.461,-26.245,5.676
0.076,0.202,-0.941,11.292,-33.569,18.005
-0.012,0.230,-0.930,0.732,-30.945,24.475
-0.070,0.242,-0.964,-8.728,-18.982,24.719
-0.088,0.247,-1.042,-17.151,-4.333,22.827
-0.076,0.245,-1.133,-21.973,6.531,21.118
-0.057,0.231,-1.208,-20.264,12.024,17.273
-0.056,0.212,-1.255,-14.465,8.606,9.705
-0.066,0.184,-1.264,-5.371,-1.831,1.892
-0.084,0.156,-1.208,5.676,-12.756,-4.944
-0.096,0.140,-1.109,16.174,-20.508,-11.169
-0.101,0.133,-1.001,21.667,-24.719,-14.404
-0.102,0.133,-0.906,20.935,-26.123,-15.442
-0.095,0.130,-0.818,17.517,-26.367,-15.076
-0.070,0.115,-0.746,11.292,-26.367,-15.076
-0.050,0.096,-0.733,1.343,-26.184,-14.221
-0.032,0.095,-0.779,-9.888,-21.484,-11.108
-0.027,0.100,-0.872,-20.447,-11.475,-6.042
-0.030,0.114,-0.983,-27.283,-1.770,-0.305
-0.042,0.137,-1.071,-28.137,5.188,6.226
-0.060,0.165,-1.115,-20.813,9.155,10.071
-0.067,0.181,-1.086,-9.338,7.812,8.850
-0.068,0.170,-1.015,1.343,2.502,3.052
-0.047,0.133,-0.926,9.277,-4.944,-3.357
-0.021,0.083,-0.849,11.353,-13.184,-8.789
0.007,0.052,-0.804,7.385,-17.822,-9.766
0.000,0.050,-0.811,-1.038,-17.334,-5.493
-0.020,0.065,-0.856,-11.108,-13.489,1.526
-0.050,0.094,-0.915,-19.043,-7.568,8.667
-0.087,0.118,-0.958,-23.499,-0.916,13.000
-0.108,0.139,-0.987,-23.804,5.188,14.648
-0.116,0.151,-0.997,-20.447,7.690,13.123
-0.117,0.144,-1.003,-16.052,5.493,8.789
-0.106,0.133,-1.007,-11.963,0.488,3.906
-0.090,0.131,-1.018,-9.644,-3.296,0.244
-0.077,0.126,-1.039,-9.399,-4.089,-0.977
-0.076,0.122,-1.066,-8.972,-1.831,0.549
-0.080,0.133,-1.085,-7.568,2.197,3.662
-0.106,0.155,-1.085,-5.615,6.104,7.202
-0.133,0.168,-1.068,-3.601,7.202,8.667
-0.145,0.171,-1.036,-2.197,4.517,6.653
-0.147,0.258,-1.162,-1.587,0.671,2.869
-0.149,0.347,-1.437,-1.099,-10.376,-1.282
-0.087,0.141,-1.299,11.536,-22.034,-4.395
-0.068,0.165,-1.031,25.146,-9.277,-6.531
-0.069,0.182,-0.915,21.973,4.578,-7.263
-0.031,0.153,-0.938,6.897,10.315,-2.808
