aX,aY,aZ,gX,gY,gZ
0.135,-0.642,0.681,3.113,-0.061,7.690
0.127,-0.621,0.693,7.507,0.854,6.226

-0.363,1.194,1.191,147.705,43.945,-156.860
-0.572,1.089,1.081,173.645,55.298,-186.340
-0.824,0.846,0.900,211.670,73.242,-209.839
-1.040,0.416,0.615,249.329,97.961,-218.445
-1.077,-0.336,0.375,270.325,121.155,-210.876
-0.882,-1.059,0.109,276.367,135.437,-179.565
-1.202,-1.547,-0.172,244.141,136.719,-112.122
-1.718,-2.050,-0.835,155.640,131.165,-21.606
-2.214,-3.163,-1.691,25.024,124.817,55.542
-2.721,-4.000,-2.124,-106.689,122.009,85.999
-1.944,-4.000,-2.104,-157.043,130.737,9.766
-1.049,-4.000,-0.870,-125.061,184.631,-128.906
1.233,-4.000,-1.975,-72.144,264.771,-200.806
2.130,-3.959,-1.953,-53.406,268.494,-210.571
1.965,-2.224,-2.268,-12.939,220.459,-98.267
1.358,-0.716,-2.513,-14.465,179.993,37.354
0.743,0.072,-2.687,-23.132,160.889,137.756
-0.066,0.042,-2.269,-4.761,95.764,171.265
-0.856,-0.654,-1.220,59.265,-23.376,126.343
-1.415,-1.258,0.075,120.361,-124.939,41.382
-1.682,-1.655,1.144,139.404,-164.307,-33.630
-1.794,-1.701,1.885,116.333,-151.245,-65.674
-1.724,-1.474,2.181,73.059,-104.492,-55.603
-1.431,-1.250,1.928,17.395,-40.771,-35.034
-1.069,-1.097,1.362,-37.842,11.841,-29.602
-0.719,-0.959,0.668,-85.938,37.109,-37.964
-0.429,-0.975,0.137,-117.676,24.902,-52.490
-0.185,-1.143,-0.153,-124.268,-8.667,-66.345
0.013,-1.368,-0.212,-116.028,-37.964,-69.458
0.108,-1.529,-0.161,-97.961,-50.354,-59.326
0.144,-1.568,-0.101,-73.914,-50.049,-34.729
0.108,-1.582,-0.047,-47.607,-45.654,-1.526
0.031,-1.570,-0.030,-24.719,-38.757,32.288
-0.038,-1.551,-0.051,-10.315,-33.020,60.852
-0.089,-1.565,-0.126,-5.371,-30.334,81.482
-0.096,-1.626,-0.230,-10.071,-33.081,95.886
-0.106,-1.684,-0.321,-19.897,-40.283,105.591
-0.131,-1.753,-0.373,-29.663,-47.791,114.441
-0.146,-1.822,-0.408,-38.757,-52.673,125.305
-0.132,-1.884,-0.437,-50.903,-55.176,136.658
-0.134,-1.948,-0.478,-65.674,-54.199,143.738
-0.130,-1.978,-0.503,-77.759,-46.387,147.888
-0.164,-1.977,-0.482,-81.970,-34.912,153.687
-0.188,-1.948,-0.388,-78.979,-28.748,156.860
-0.334,-2.134,-0.372,-72.205,-35.461,144.775
-0.504,-1.591,-0.174,-80.566,-45.593,150.818
-0.483,-1.415,-0.189,-70.923,-39.368,176.636
-0.401,-1.284,-0.060,-43.762,-20.386,166.809
-0.321,-1.096,0.124,-20.569,-9.827,158.813
-0.264,-0.904,0.248,-7.263,-13.855,152.466
-0.188,-0.809,0.312,-12.146,-21.057,140.076
-0.083,-0.737,0.338,-18.188,-21.973,121.826
0.048,-0.639,0.362,-18.677,-13.123,101.257
0.211,-0.561,0.401,-12.756,0.305,86.121
0.433,-0.511,0.432,-8.240,12.512,78.918
0.555,-0.424,0.480,-5.432,21.790,80.322
0.591,-0.311,0.553,-5.676,23.071,88.318
0.673,-0.282,0.591,-13.306,12.329,91.064
0.760,-0.245,0.592,-24.902,-2.380,85.327
0.817,-0.147,0.611,-35.767,-15.686,77.515
0.780,-0.033,0.648,-40.039,-30.151,74.463
0.712,0.064,0.727,-37.964,-46.082,76.721
0.618,0.124,0.818,-35.217,-58.960,79.956
0.510,0.172,0.959,-28.809,-63.782,80.750
0.354,0.225,1.129,-18.860,-60.669,80.872
0.209,0.289,1.372,-14.709,-56.641,78.796
0.054,0.399,1.732,-14.404,-56.641,75.134
-0.291,0.599,2.255,-13.977,-59.204,77.881
-0.818,0.759,2.773,-17.517,-59.143,88.379
-1.356,0.819,3.076,-36.133,-51.453,100.098
-1.680,0.829,3.001,-66.895,-34.729,98.999
-1.722,0.768,2.554,-96.619,-11.475,72.754
-1.410,0.651,1.909,-119.507,20.508,24.780
-0.800,0.465,1.154,-128.906,55.908,-32.349
-0.146,0.172,0.510,-119.995,82.581,-81.116
0.359,-0.146,0.087,-92.224,89.417,-105.103
0.700,-0.404,-0.135,-54.993,80.078,-106.445
0.906,-0.589,-0.219,-23.071,60.303,-97.778
1.057,-0.705,-0.242,0.183,39.795,-86.609
1.134,-0.732,-0.211,17.273,23.621,-74.158
1.147,-0.722,-0.147,31.616,9.460,-58.899
1.083,-0.724,-0.034,39.612,-5.310,-42.786
0.972,-0.731,0.113,42.908,-21.362,-29.907
0.844,-0.752,0.303,46.448,-37.415,-21.606
0.715,-0.836,0.505,47.668,-50.903,-17.883
0.620,-0.904,0.696,48.462,-56.824,-14.587
0.502,-0.940,0.872,50.781,-54.321,-7.507
0.381,-0.941,1.012,53.650,-47.180,2.686
0.288,-0.922,1.098,51.575,-38.513,13.062
0.205,-0.886,1.124,44.312,-29.785,20.325
0.142,-0.855,1.107,34.790,-23.315,23.621
0.097,-0.842,1.074,23.621,-20.874,22.278
0.092,-0.838,1.037,11.353,-22.644,16.785
0.089,-0.856,1.002,0.244,-26.855,10.010
0.103,-0.878,0.962,-8.423,-29.358,4.395
0.120,-0.876,0.921,-14.160,-27.893,1.648
0.144,-0.867,0.870,-17.578,-22.705,2.686
0.173,-0.846,0.801,-18.738,-13.428,5.066
0.219,-0.825,0.735,-17.456,-2.502,7.874
0.280,-0.812,0.656,-16.724,6.104,10.742
0.341,-0.810,0.574,-17.273,9.583,12.085
0.376,-0.810,0.518,-18.433,6.653,11.902
0.396,-0.791,0.491,-19.470,0.122,11.169
0.376,-0.767,0.495,-20.752,-5.737,10.681
0.333,-0.727,0.512,-20.264,-8.484,11.963
0.284,-0.669,0.529,-18.250,-7.751,14.587
0.233,-0.609,0.538,-14.954,-5.737,16.113
0.204,-0.564,0.552,-10.681,-3.296,15.076
0.201,-0.547,0.563,-7.507,-1.282,12.146
0.209,-0.550,0.578,-3.967,-0.610,8.362
0.227,-0.571,0.608,-0.305,-1.587,4.333
0.247,-0.602,0.630,2.136,-2.869,1.282
0.265,-0.629,0.640,3.235,-3.235,0.183
0.271,-0.643,0.646,4.272,-2.319,1.282
0.262,-0.644,0.657,5.066,-0.732,3.418
0.253,-0.647,0.664,4.944,-0.366,4.150
0.264,-0.631,0.665,3.845,-1.038,3.052
0.272,-0.642,0.661,2.380,-1.709,1.038
0.269,-0.655,0.665,2.502,-2.197,-0.610

-2.251,-0.205,0.610,162.781,262.756,-98.450
-2.916,-0.516,0.239,122.742,276.917,-110.901
-3.512,-1.051,-0.433,56.030,276.550,-130.066
-3.958,-1.953,-1.287,-25.024,262.878,-161.743
-3.967,-3.270,-2.154,-105.347,244.507,-208.313
-3.514,-4.000,-2.768,-167.419,213.806,-266.541
-2.741,-4.000,-2.924,-169.983,166.382,-332.336
-1.025,-4.000,-2.685,-82.825,117.371,-387.939
1.007,-4.000,-2.962,73.669,98.572,-407.837
3.432,-3.286,-3.424,152.466,128.540,-373.413
4.000,-3.443,-4.000,121.582,135.071,-295.898
4.000,-3.652,-3.854,50.842,14.404,-214.294
3.386,-3.007,-2.078,30.884,-201.172,-30.212
-0.267,-2.502,-0.312,56.641,-374.695,260.925
-3.888,-2.485,0.865,96.069,-380.127,502.869
-4.000,-2.233,1.072,177.002,-194.153,580.872
-4.000,-0.157,3.996,243.958,61.096,512.329
-3.994,-1.003,2.882,351.990,214.844,382.263
-2.923,-0.126,3.580,219.299,229.858,194.336
-2.574,0.117,2.540,36.499,134.705,20.386
-1.737,-0.009,1.361,-190.491,-8.057,-104.919
-0.837,-0.550,0.066,-344.116,-107.849,-193.054
-0.046,-1.037,-0.899,-371.155,-103.760,-251.160
0.561,-1.259,-1.239,-282.471,-38.818,-254.883
0.874,-1.305,-1.048,-111.450,3.662,-197.571
0.901,-1.401,-0.508,25.085,3.113,-101.501
0.752,-1.569,0.018,87.830,-4.639,-2.563
0.303,-1.621,0.449,102.844,0.916,71.960
-0.131,-1.570,0.771,100.891,4.456,110.291
-0.394,-1.449,0.992,87.524,-0.793,113.281
-0.594,-1.288,1.092,57.617,-16.968,97.717
-0.704,-1.152,1.017,11.536,-32.898,79.407
-0.754,-1.104,0.847,-36.926,-35.339,60.364
-0.691,-1.071,0.633,-67.627,-25.452,43.579
-0.530,-1.031,0.426,-76.416,-9.216,33.325
-0.357,-1.016,0.228,-70.923,7.874,30.762
-0.220,-1.016,0.060,-64.087,17.822,34.302
-0.133,-1.026,-0.078,-59.875,14.343,39.673
-0.053,-1.066,-0.186,-56.702,-0.793,44.006
-0.004,-1.148,-0.224,-49.683,-23.010,47.668
0.012,-1.268,-0.213,-38.513,-44.189,54.138
-0.041,-1.435,-0.197,-29.358,-59.387,67.932
